Source.Name,Date,EmpID,Gender,Age,EthnicGroup,FP,TermDate,isNewHire,BU Region,HireDate,PayType,TermReason,AgeGroup,TenureDays,TenureMonths,BadHires
201501.csv,1/1/2015,43356,F,20,Group B,FT, , ,South,2/09/2009,Hourly, ,<30,486,16.2,0
201501.csv,1/1/2015,43440,F,23,Group G,FT, , ,North,31/05/2007,Hourly, ,<30,1311,43.7,0
201501.csv,1/1/2015,43526,M,55,Group C,FT, , ,North,26/04/2008,Hourly, ,50+,980,32.67,0
201501.csv,1/1/2015,43538,M,23,Group C,PT, , ,North,12/06/2008,Hourly, ,<30,933,31.1,0
201501.csv,1/1/2015,43610,M,22,Group C,PT, , ,North,20/03/2007,Hourly, ,<30,1383,46.1,0
201501.csv,1/1/2015,43612,M,52,Group G,PT, , ,North,27/02/2007,Hourly, ,50+,1404,46.8,0
201501.csv,1/1/2015,43672,F,20,Group D,FT, , ,North,3/11/2006,Hourly, ,<30,1520,50.67,0
201501.csv,1/1/2015,43678,M,57,Group A,FT, , ,North,9/04/2007,Hourly, ,50+,1363,45.43,0
201501.csv,1/1/2015,43738,M,20,Group D,PT, , ,North,22/06/2010,Hourly, ,<30,193,6.43,0
201501.csv,1/1/2015,43776,M,24,Group D,PT, , ,Midwest,6/07/2005,Hourly, ,<30,2005,66.83,0
201501.csv,1/1/2015,43790,F,62,Group D,FT, , ,Midwest,1/08/2009,Hourly, ,50+,518,17.27,0
201501.csv,1/1/2015,43918,M,47,Group A,PT, , ,Midwest,9/03/2010,Hourly, ,30-49,298,9.93,0
201501.csv,1/1/2015,44006,F,24,Group E,PT, , ,Midwest,26/02/2007,Hourly, ,<30,1405,46.83,0
201501.csv,1/1/2015,44044,M,60,Group A,PT, , ,Midwest,13/02/2007,Hourly, ,50+,1418,47.27,0
201501.csv,1/1/2015,44062,M,29,Group C,FT, , ,Midwest,12/08/2006,Hourly, ,<30,1603,53.43,0
201501.csv,1/1/2015,44110,M,24,Group D,PT, , ,Midwest,24/06/2009,Hourly, ,<30,556,18.53,0
201501.csv,1/1/2015,49036,M,52,Group G,FT, , ,Central,13/10/2005,Hourly, ,50+,1906,63.53,0
201501.csv,1/1/2015,49040,F,45,Group F,PT, , ,South,2/06/2010,Hourly, ,30-49,213,7.1,0
201501.csv,1/1/2015,49054,F,24,Group F,PT, , ,South,13/07/2006,Hourly, ,<30,1633,54.43,0
201501.csv,1/1/2015,49142,M,31,Group A,PT, , ,Midwest,22/03/2008,Hourly, ,30-49,1015,33.83,0
201501.csv,1/1/2015,49164,F,50,Group A,FT, , ,South,17/04/2008,Hourly, ,50+,989,32.97,0
201501.csv,1/1/2015,49188,F,48,Group B,FT, , ,Midwest,10/03/1981,Hourly, ,30-49,10889,362.97,0
201501.csv,1/1/2015,49302,F,19,Group A,PT, , ,North,13/12/2007,Hourly, ,<30,1115,37.17,0
201501.csv,1/1/2015,49550,M,46,Group G,FT, , ,West,16/03/2008,Hourly, ,30-49,1021,34.03,0
201501.csv,1/1/2015,49666,F,31,Group A,FT, , ,Midwest,26/01/2007,Hourly, ,30-49,1436,47.87,0
201501.csv,1/1/2015,49716,F,59,Group E,FT, , ,Central,27/07/2007,Hourly, ,50+,1254,41.8,0
201501.csv,1/1/2015,49748,F,49,Group E,FT, , ,Northwest,21/11/2001,Hourly, ,30-49,3328,110.93,0
201501.csv,1/1/2015,49776,F,26,Group A,FT, , ,North,12/07/2006,Hourly, ,<30,1634,54.47,0
201501.csv,1/1/2015,49794,F,40,Group G,FT, , ,South,18/01/1989,Hourly, ,30-49,8018,267.27,0
201501.csv,1/1/2015,49832,F,27,Group F,FT, , ,West,14/07/2004,Hourly, ,<30,2362,78.73,0
201501.csv,1/1/2015,49922,F,23,Group F,PT, , ,Central,5/03/2008,Hourly, ,<30,1032,34.4,0
201501.csv,1/1/2015,50278,F,54,Group F,FT, , ,North,13/10/2000,Hourly, ,50+,3732,124.4,0
201501.csv,1/1/2015,50282,F,52,Group D,PT, , ,South,15/10/2002,Hourly, ,50+,3000,100,0
201501.csv,1/1/2015,50304,F,29,Group F,FT, , ,Central,23/07/2009,Hourly, ,<30,527,17.57,0
201501.csv,1/1/2015,50306,F,41,Group C,FT, , ,Central,8/11/2005,Hourly, ,30-49,1880,62.67,0
201501.csv,1/1/2015,50318,F,40,Group A,FT, , ,Midwest,13/09/2005,Hourly, ,30-49,1936,64.53,0
201501.csv,1/1/2015,50322,F,27,Group G,FT, , ,West,1/12/2007,Hourly, ,<30,1127,37.57,0
201501.csv,1/1/2015,50336,F,27,Group A,FT, , ,West,15/09/2005,Hourly, ,<30,1934,64.47,0
201501.csv,1/1/2015,50342,F,30,Group C,FT, , ,Central,1/05/2008,Hourly, ,30-49,975,32.5,0
201501.csv,1/1/2015,50386,F,20,Group A,FT, , ,North,11/09/2010,Hourly, ,<30,112,3.73,0
201501.csv,1/1/2015,50426,F,40,Group E,FT, , ,Northwest,30/06/2004,Hourly, ,30-49,2376,79.2,0
201501.csv,1/1/2015,50438,F,56,Group G,FT, , ,West,29/03/2005,Hourly, ,50+,2104,70.13,0
201501.csv,1/1/2015,50470,F,55,Group D,FT, , ,Midwest,21/11/1974,Hourly, ,50+,13190,439.67,0
201501.csv,1/1/2015,50838,M,22,Group G,FT, , ,West,23/04/2010,Hourly, ,<30,253,8.43,0
201501.csv,1/1/2015,50884,F,54,Group E,FT, , ,North,15/04/2005,Hourly, ,50+,2087,69.57,0
201501.csv,1/1/2015,51010,M,32,Group B,FT, , ,West,5/08/2009,Hourly, ,30-49,514,17.13,0
201501.csv,1/1/2015,51146,F,33,Group D,FT, , ,Central,24/06/1995,Hourly, ,30-49,5670,189,0
201501.csv,1/1/2015,51236,F,68,Group B,FT, , ,Central,15/04/2004,Hourly, ,50+,2452,81.73,0
201501.csv,1/1/2015,51312,M,25,Group D,FT, , ,Northwest,22/09/2004,Hourly, ,<30,2292,76.4,0
201501.csv,1/1/2015,51316,F,65,Group C,FT, , ,Northwest,30/10/2007,Hourly, ,50+,1159,38.63,0
201501.csv,1/1/2015,51324,M,28,Group B,FT, , ,Northwest,18/03/2004,Hourly, ,<30,2480,82.67,0
201501.csv,1/1/2015,51548,M,47,Group B,FT, , ,Central,14/12/2008,Hourly, ,30-49,748,24.93,0
201501.csv,1/1/2015,51622,F,38,Group D,FT, , ,Central,23/06/1998,Hourly, ,30-49,4575,152.5,0
201501.csv,1/1/2015,51916,F,54,Group C,FT, , ,South,13/05/2003,Hourly, ,50+,2790,93,0
201501.csv,1/1/2015,51922,M,48,Group G,FT, , ,South,12/08/2004,Hourly, ,30-49,2333,77.77,0
201501.csv,1/1/2015,51994,M,55,Group E,PT, , ,Northwest,10/11/2004,Hourly, ,50+,2243,74.77,0
201501.csv,1/1/2015,52010,M,32,Group F,PT, , ,Northwest,1/05/2003,Hourly, ,30-49,2802,93.4,0
201501.csv,1/1/2015,52212,M,63,Group E,PT, , ,Northwest,13/09/2006,Hourly, ,50+,1571,52.37,0
201501.csv,1/1/2015,52238,M,41,Group E,PT, , ,Northwest,13/07/2005,Hourly, ,30-49,1998,66.6,0
201501.csv,1/1/2015,52290,M,61,Group G,PT, , ,West,30/10/2007,Hourly, ,50+,1159,38.63,0
201501.csv,1/1/2015,52292,M,32,Group D,FT, , ,West,7/06/2005,Hourly, ,30-49,2034,67.8,0
201501.csv,1/1/2015,52332,M,58,Group C,PT, , ,South,22/01/2002,Hourly, ,50+,3266,108.87,0
201501.csv,1/1/2015,52536,M,40,Group D,FT, , ,Central,25/11/2003,Hourly, ,30-49,2594,86.47,0
201501.csv,1/1/2015,52566,M,54,Group B,FT, , ,Central,23/09/2009,Hourly, ,50+,465,15.5,0
201501.csv,1/1/2015,52682,M,39,Group G,PT, , ,Central,4/04/2002,Hourly, ,30-49,3194,106.47,0
201501.csv,1/1/2015,52764,M,28,Group F,FT, , ,Central,6/04/2010,Hourly, ,<30,270,9,0
201501.csv,1/1/2015,52826,M,53,Group C,FT, , ,Northwest,1/03/2006,Hourly, ,50+,1767,58.9,0
201501.csv,1/1/2015,52926,F,43,Group A,PT, , ,North,11/05/1988,Hourly, ,30-49,8270,275.67,0
201501.csv,1/1/2015,52934,M,24,Group B,PT, , ,North,14/04/2007,Hourly, ,<30,1358,45.27,0
201501.csv,1/1/2015,52954,M,49,Group G,FT, , ,North,28/02/1989,Salary, ,30-49,7977,265.9,0
201501.csv,1/1/2015,52966,F,22,Group E,PT, , ,North,15/04/2009,Hourly, ,<30,626,20.87,0
201501.csv,1/1/2015,52968,M,34,Group F,FT, , ,North,28/03/2007,Salary, ,30-49,1375,45.83,0
201501.csv,1/1/2015,52970,M,35,Group A,FT, , ,North,12/10/1996,Salary, ,30-49,5194,173.13,0
201501.csv,1/1/2015,52972,F,22,Group C,PT, , ,North,9/10/2007,Hourly, ,<30,1180,39.33,0
201501.csv,1/1/2015,52982,M,25,Group G,FT, , ,North,29/06/2006,Hourly, ,<30,1647,54.9,0
201501.csv,1/1/2015,52984,M,43,Group A,FT, , ,North,10/11/1988,Hourly, ,30-49,8087,269.57,0
201501.csv,1/1/2015,53004,M,32,Group A,FT, , ,North,26/11/1998,Hourly, ,30-49,4419,147.3,0
201501.csv,1/1/2015,53176,F,43,Group G,FT, , ,Midwest,25/11/1992,Hourly, ,30-49,6611,220.37,0
201501.csv,1/1/2015,53218,M,65,Group C,PT, , ,Midwest,15/05/2009,Hourly, ,50+,596,19.87,0
201501.csv,1/1/2015,53250,F,42,Group E,FT, , ,South,4/05/2010,Salary, ,30-49,242,8.07,0
201501.csv,1/1/2015,53266,M,49,Group F,FT, , ,South,11/06/1991,Hourly, ,30-49,7144,238.13,0
201501.csv,1/1/2015,53292,F,38,Group E,FT, , ,South,4/06/1993,Salary, ,30-49,6420,214,0
201501.csv,1/1/2015,53370,M,43,Group D,FT, , ,South,20/05/1986,Salary, ,30-49,8992,299.73,0
201501.csv,1/1/2015,53402,F,31,Group B,FT, , ,South,20/08/2009,Salary, ,30-49,499,16.63,0
201501.csv,1/1/2015,53412,M,46,Group F,FT, , ,South,25/04/2006,Salary, ,30-49,1712,57.07,0
201501.csv,1/1/2015,53554,F,29,Group F,FT, , ,Central,28/03/2006,Salary, ,<30,1740,58,0
201501.csv,1/1/2015,53612,F,51,Group E,FT, , ,Central,2/10/2001,Salary, ,50+,3378,112.6,0
201501.csv,1/1/2015,53652,M,39,Group A,FT, , ,Central,21/12/1990,Salary, ,30-49,7316,243.87,0
201501.csv,1/1/2015,53752,M,38,Group A,PT, , ,Central,20/11/2007,Hourly, ,30-49,1138,37.93,0
201501.csv,1/1/2015,53804,F,25,Group B,FT, , ,Central,31/10/2005,Hourly, ,<30,1888,62.93,0
201501.csv,1/1/2015,53826,F,48,Group G,FT, , ,West,29/08/2006,Salary, ,30-49,1586,52.87,0
201501.csv,1/1/2015,53992,F,59,Group D,FT, , ,West,23/02/2007,Hourly, ,50+,1408,46.93,0
201501.csv,1/1/2015,54048,M,42,Group A,FT, , ,West,27/06/2004,Salary, ,30-49,2379,79.3,0
201501.csv,1/1/2015,54082,M,48,Group G,FT, , ,West,23/08/2007,Hourly, ,30-49,1227,40.9,0
201501.csv,1/1/2015,54100,M,52,Group B,FT, , ,West,15/12/2007,Hourly, ,50+,1113,37.1,0
201501.csv,1/1/2015,54316,M,21,Group B,PT, , ,Northwest,13/09/2006,Hourly, ,<30,1571,52.37,0
201501.csv,1/1/2015,54338,M,25,Group B,FT, ,Yes,North,6/01/2011,Hourly, ,<30,0,0,0
201501.csv,1/1/2015,54472,F,66,Group B,FT, , ,Northwest,27/08/2002,Salary, ,50+,3049,101.63,0
201501.csv,1/1/2015,54510,M,42,Group C,FT, , ,Northwest,30/10/2007,Hourly, ,30-49,1159,38.63,0
201501.csv,1/1/2015,54890,F,61,Group A,FT, , ,West,5/04/2005,Hourly, ,50+,2097,69.9,0
201501.csv,1/1/2015,55442,F,71,Group G,FT, , ,West,11/03/2003,Hourly, ,50+,2853,95.1,0
201501.csv,1/1/2015,55648,M,53,Group B,FT, , ,Northwest,14/07/2004,Hourly, ,50+,2362,78.73,0
201501.csv,1/1/2015,55650,M,20,Group E,PT, , ,North,26/09/2008,Hourly, ,<30,827,27.57,0
201501.csv,1/1/2015,55700,F,49,Group B,FT, , ,Central,30/08/2005,Hourly, ,30-49,1950,65,0
201501.csv,1/1/2015,55704,M,49,Group G,FT, , ,Central,10/05/2005,Hourly, ,30-49,2062,68.73,0
201501.csv,1/1/2015,55722,M,37,Group C,PT, , ,Central,4/05/2010,Hourly, ,30-49,242,8.07,0
201501.csv,1/1/2015,55726,M,39,Group E,FT, , ,Central,23/10/2008,Hourly, ,30-49,800,26.67,0
201501.csv,1/1/2015,55730,M,19,Group A,PT, , ,Central,27/08/2010,Hourly, ,<30,127,4.23,0
201501.csv,1/1/2015,55734,M,43,Group F,PT, , ,Central,30/04/2008,Hourly, ,30-49,976,32.53,0
201501.csv,1/1/2015,55770,M,27,Group E,PT, , ,North,11/08/2000,Hourly, ,<30,3795,126.5,0
201501.csv,1/1/2015,55786,F,23,Group D,PT, , ,Midwest,16/11/2007,Hourly, ,<30,1142,38.07,0
201501.csv,1/1/2015,56246,M,31,Group E,PT, , ,Central,4/10/2001,Hourly, ,30-49,3376,112.53,0
201501.csv,1/1/2015,56292,F,30,Group G,FT, , ,Central,11/12/2007,Hourly, ,30-49,1117,37.23,0
201501.csv,1/1/2015,56296,M,53,Group D,FT, , ,Central,26/03/2010,Hourly, ,50+,281,9.37,0
201501.csv,1/1/2015,56330,M,50,Group E,FT, , ,West,17/11/2009,Hourly, ,50+,410,13.67,0
201501.csv,1/1/2015,56358,M,61,Group E,PT, , ,West,23/02/2007,Hourly, ,50+,1408,46.93,0
201501.csv,1/1/2015,56490,M,63,Group G,FT, , ,South,19/10/1988,Hourly, ,50+,8109,270.3,0
201501.csv,1/1/2015,56498,M,48,Group C,FT, , ,Midwest,27/01/2000,Hourly, ,30-49,3992,133.07,0
201501.csv,1/1/2015,56508,F,26,Group F,FT, , ,Midwest,4/08/2004,Hourly, ,<30,2341,78.03,0
201501.csv,1/1/2015,56516,M,47,Group E,FT, , ,Midwest,20/09/1984,Hourly, ,30-49,9599,319.97,0
201501.csv,1/1/2015,56526,M,60,Group C,FT, , ,South,30/06/1987,Hourly, ,50+,8586,286.2,0
201501.csv,1/1/2015,91744,F,27,Group F,FT, , ,North,19/12/2006,Salary, ,<30,1474,49.13,0
201501.csv,1/1/2015,91824,M,21,Group D,FT, , ,North,24/05/2008,Hourly, ,<30,952,31.73,0
201501.csv,1/1/2015,92056,F,49,Group F,FT, , ,East,21/03/2006,Hourly, ,30-49,1747,58.23,0
201501.csv,1/1/2015,92072,F,49,Group B,FT, , ,East,26/08/2008,Salary, ,30-49,858,28.6,0
201501.csv,1/1/2015,92166,F,56,Group D,FT, , ,East,17/01/2006,Hourly, ,50+,1810,60.33,0
201501.csv,1/1/2015,92168,F,40,Group B,FT, , ,East,13/05/2003,Hourly, ,30-49,2790,93,0
201501.csv,1/1/2015,92240,M,27,Group D,PT, , ,East,7/05/2008,Hourly, ,<30,969,32.3,0
201501.csv,1/1/2015,92246,F,35,Group B,FT, , ,East,5/10/2010,Salary, ,30-49,88,2.93,0
201501.csv,1/1/2015,92250,M,52,Group C,FT, , ,East,8/09/1981,Salary, ,50+,10707,356.9,0
201501.csv,1/1/2015,92260,M,48,Group B,FT, , ,East,27/06/2008,Hourly, ,30-49,918,30.6,0
201501.csv,1/1/2015,92270,F,36,Group F,FT, , ,East,28/03/2006,Salary, ,30-49,1740,58,0
201501.csv,1/1/2015,92282,F,27,Group E,FT, , ,East,1/12/2009,Salary, ,<30,396,13.2,0
201501.csv,1/1/2015,92302,M,34,Group E,FT, , ,East,1/03/2008,Salary, ,30-49,1036,34.53,0
201501.csv,1/1/2015,92310,M,36,Group B,FT, , ,East,25/06/2008,Salary, ,30-49,920,30.67,0
201501.csv,1/1/2015,92324,F,25,Group F,FT, , ,East,2/06/2005,Salary, ,<30,2039,67.97,0
201501.csv,1/1/2015,92328,F,34,Group A,FT, , ,East,4/02/2009,Salary, ,30-49,696,23.2,0
201501.csv,1/1/2015,92332,F,43,Group G,FT, , ,East,21/02/2006,Salary, ,30-49,1775,59.17,0
201501.csv,1/1/2015,92334,M,44,Group F,FT, , ,East,7/01/2009,Salary, ,30-49,724,24.13,0
201501.csv,1/1/2015,92336,F,37,Group E,FT, , ,East,25/02/2009,Salary, ,30-49,675,22.5,0
201501.csv,1/1/2015,92338,F,48,Group F,FT, , ,East,11/08/2009,Salary, ,30-49,508,16.93,0
201501.csv,1/1/2015,92340,F,27,Group B,FT, , ,East,29/09/2009,Salary, ,<30,459,15.3,0
201501.csv,1/1/2015,92358,F,55,Group C,FT, , ,East,14/05/2002,Hourly, ,50+,3154,105.13,0
201501.csv,1/1/2015,92366,F,59,Group F,FT, , ,East,4/04/2006,Hourly, ,50+,1733,57.77,0
201501.csv,1/1/2015,92420,M,24,Group D,FT, , ,East,23/06/2004,Hourly, ,<30,2383,79.43,0
201501.csv,1/1/2015,92438,F,50,Group B,FT, , ,East,18/12/2007,Hourly, ,50+,1110,37,0
201501.csv,1/1/2015,95692,M,47,Group F,FT, , ,East,2/09/2009,Salary, ,30-49,486,16.2,0
201501.csv,1/1/2015,95694,M,31,Group A,FT, , ,East,21/07/2005,Salary, ,30-49,1990,66.33,0
201501.csv,1/1/2015,95696,F,53,Group E,FT, , ,East,3/11/1987,Salary, ,50+,8460,282,0
201501.csv,1/1/2015,95728,M,49,Group F,FT, , ,East,28/05/2003,Salary, ,30-49,2775,92.5,0
201501.csv,1/1/2015,95730,F,27,Group D,FT, , ,East,24/06/2008,Salary, ,<30,921,30.7,0
201501.csv,1/1/2015,95740,M,32,Group E,FT, , ,East,13/08/2008,Salary, ,30-49,871,29.03,0
201501.csv,1/1/2015,95744,F,48,Group B,FT, , ,East,3/03/1987,Salary, ,30-49,8705,290.17,0
201501.csv,1/1/2015,95752,F,29,Group D,FT, , ,East,1/12/2006,Salary, ,<30,1492,49.73,0
201501.csv,1/1/2015,95754,M,55,Group G,FT, , ,East,6/06/2006,Salary, ,50+,1670,55.67,0
201501.csv,1/1/2015,95762,F,34,Group D,FT, , ,East,27/08/2008,Salary, ,30-49,857,28.57,0
201501.csv,1/1/2015,95772,F,51,Group A,FT, , ,East,15/05/1984,Salary, ,50+,9727,324.23,0
201501.csv,1/1/2015,95782,F,39,Group E,FT, , ,East,17/09/2008,Salary, ,30-49,836,27.87,0
201501.csv,1/1/2015,95784,M,40,Group F,FT, , ,East,17/07/2007,Salary, ,30-49,1264,42.13,0
201501.csv,1/1/2015,95788,F,49,Group G,FT, , ,East,5/01/2010,Salary, ,30-49,361,12.03,0
201501.csv,1/1/2015,96180,M,23,Group E,FT, , ,East,29/01/2008,Hourly, ,<30,1068,35.6,0
201501.csv,1/1/2015,96382,F,22,Group A,FT, , ,East,20/11/2007,Hourly, ,<30,1138,37.93,0
201501.csv,1/1/2015,96442,M,43,Group C,FT, , ,East,20/09/2005,Hourly, ,30-49,1929,64.3,0
201501.csv,1/1/2015,96764,F,33,Group E,FT, , ,East,13/07/2001,Hourly, ,30-49,3459,115.3,0
201501.csv,1/1/2015,97020,F,38,Group B,FT, , ,East,21/06/2002,Hourly, ,30-49,3116,103.87,0
201501.csv,1/1/2015,97038,F,23,Group E,FT, , ,East,2/10/2007,Hourly, ,<30,1187,39.57,0
201501.csv,1/1/2015,97052,F,47,Group A,FT, , ,East,14/05/2008,Hourly, ,30-49,962,32.07,0
201501.csv,1/1/2015,97318,F,23,Group A,PT, , ,East,13/05/2009,Hourly, ,<30,598,19.93,0
201501.csv,1/1/2015,97344,F,34,Group F,FT, , ,East,27/02/2003,Hourly, ,30-49,2865,95.5,0
201501.csv,1/1/2015,97546,F,57,Group E,FT, , ,East,24/07/2003,Hourly, ,50+,2718,90.6,0
201501.csv,1/1/2015,98080,F,29,Group A,FT, , ,East,9/10/2001,Hourly, ,<30,3371,112.37,0
201501.csv,1/1/2015,98432,F,29,Group E,FT, , ,East,5/04/2005,Hourly, ,<30,2097,69.9,0
201501.csv,1/1/2015,99064,M,25,Group F,PT, , ,North,13/04/2005,Hourly, ,<30,2089,69.63,0
201501.csv,1/1/2015,101802,M,31,Group C,PT, , ,Central,30/08/2005,Hourly, ,30-49,1950,65,0
201501.csv,1/1/2015,101996,M,21,Group F,FT, , ,West,9/10/2006,Hourly, ,<30,1545,51.5,0
201501.csv,1/1/2015,102250,F,23,Group D,PT, , ,North,5/06/2007,Hourly, ,<30,1306,43.53,0
201501.csv,1/1/2015,103356,M,63,Group G,PT, , ,Northwest,22/04/2009,Hourly, ,50+,619,20.63,0
201501.csv,1/1/2015,103362,F,37,Group A,FT, , ,East,30/06/2009,Salary, ,30-49,550,18.33,0
201501.csv,1/1/2015,104426,F,25,Group G,FT, , ,North,27/09/2006,Hourly, ,<30,1557,51.9,0
201501.csv,1/1/2015,104704,F,27,Group G,FT, , ,Central,19/09/2007,Hourly, ,<30,1200,40,0
201501.csv,1/1/2015,106134,F,28,Group C,PT, , ,East,11/12/2003,Hourly, ,<30,2578,85.93,0
201501.csv,1/1/2015,106318,M,26,Group E,PT, , ,North,30/10/2007,Hourly, ,<30,1159,38.63,0
201501.csv,1/1/2015,107730,M,24,Group D,PT, , ,Northwest,27/06/2007,Hourly, ,<30,1284,42.8,0
201501.csv,1/1/2015,108086,F,20,Group C,PT, , ,North,22/09/2010,Hourly, ,<30,101,3.37,0
201501.csv,1/1/2015,108276,M,43,Group A,PT, , ,Midwest,12/10/2009,Hourly, ,30-49,446,14.87,0
201501.csv,1/1/2015,110266,F,25,Group G,FT, , ,West,7/04/2004,Salary, ,<30,2460,82,0
201501.csv,1/1/2015,110834,M,22,Group B,PT, , ,Midwest,27/03/2008,Hourly, ,<30,1010,33.67,0
201501.csv,1/1/2015,111526,F,40,Group A,PT, , ,East,1/07/2009,Hourly, ,30-49,549,18.3,0
201501.csv,1/1/2015,113294,M,39,Group A,FT, , ,Central,8/12/2000,Hourly, ,30-49,3676,122.53,0
201501.csv,1/1/2015,114258,M,44,Group B,FT, , ,South,24/09/2008,Hourly, ,30-49,829,27.63,0
201501.csv,1/1/2015,115526,F,21,Group E,PT, , ,North,30/07/2008,Hourly, ,<30,885,29.5,0
201501.csv,1/1/2015,116032,F,24,Group F,FT, , ,North,10/05/2006,Hourly, ,<30,1697,56.57,0
201501.csv,1/1/2015,119098,M,38,Group B,PT, , ,Central,6/09/2007,Hourly, ,30-49,1213,40.43,0
201501.csv,1/1/2015,119550,M,72,Group G,FT, , ,Central,28/02/2007,Hourly, ,50+,1403,46.77,0
201501.csv,1/1/2015,120656,F,31,Group C,FT, , ,East,16/06/2001,Hourly, ,30-49,3486,116.2,0
201501.csv,1/1/2015,121050,M,20,Group G,PT, , ,Northwest,15/07/2010,Hourly, ,<30,170,5.67,0
201501.csv,1/1/2015,123298,F,22,Group D,FT, , ,Northwest,3/10/2006,Hourly, ,<30,1551,51.7,0
201502.csv,1/2/2015,1950,M,36,Group A,PT, , ,North,27/08/2008,Hourly, ,30-49,888,29.6,0
201502.csv,1/2/2015,5202,M,22,Group E,PT, , ,North,12/08/2010,Hourly, ,<30,173,5.77,0
201502.csv,1/2/2015,16664,M,24,Group F,PT, , ,North,25/09/2008,Hourly, ,<30,859,28.63,0
201502.csv,1/2/2015,17146,F,21,Group D,PT, , ,West,16/11/2010,Hourly, ,<30,77,2.57,0
201502.csv,1/2/2015,18230,M,45,Group A,PT, , ,North,24/10/2007,Hourly, ,30-49,1196,39.87,0
201502.csv,1/2/2015,21208,M,27,Group A,FT, , ,Northwest,13/07/2000,Hourly, ,<30,3855,128.5,0
201502.csv,1/2/2015,21544,F,24,Group B,PT, , ,Northwest,2/09/2010,Hourly, ,<30,152,5.07,0
201502.csv,1/2/2015,26228,M,53,Group D,PT, , ,North,17/09/2008,Hourly, ,50+,867,28.9,0
